Wind Speed;Metatropi se 24 MW;Actual Production;Difference;SMP;Forecasting error;0.07;"=NORM.INV(RAND();B2;$G$1*B2)"
0;10220.8;11173.13965;-952.3396483;48.19;24374.93333;;
0;3808;4141.587786;-333.5877857;44.68;;;
0;3500.266667;3496.659386;3.607280457;42.92;;;
0;1397.066667;1392.503182;4.56348463;40.39;;;
0;316.2666667;308.3823495;7.884317177;20.96;;;
0;344.2666667;326.4362981;17.83036856;39.63;;;
0;1201.333333;1297.789291;-96.45595757;40.1;;;
0;1624.266667;1571.933008;52.33365886;20;;;
0;3262.4;3277.522179;-15.12217901;40.74;;;
0;3087.733333;3041.374377;46.35895631;45;;;
0;1741.6;1658.250053;83.34994732;47.2;;;
0;1374.666667;1279.290588;95.37607827;48.43;;;
0;2793.866667;2746.440213;47.42645329;24.85;;;
0;1871.733333;1698.686776;173.046557;44.73;;;
0;853.6;818.1542415;35.44575855;46.59;;;
0;285.0666667;303.6274788;-18.56081215;52.99;;;
0;0;#NUM!;#NUM!;60.26;;;
0;0;#NUM!;#NUM!;60.61;;;
0;0;#NUM!;#NUM!;60.36;;;
0;0;#NUM!;#NUM!;57.4;;;
0;124;122.8453059;1.154694091;53.86;;;
0;41.86666667;40.53094113;1.335725541;53.45;;;
0;0;#NUM!;#NUM!;49.72;;;
0;0;#NUM!;#NUM!;46.69;;;
0;0;#NUM!;#NUM!;42.43;;;
0;0;#NUM!;#NUM!;41.09;;;
0;0;#NUM!;#NUM!;27.26;;;
0;0;#NUM!;#NUM!;20.08;;;
0;0;#NUM!;#NUM!;39;;;
0;0;#NUM!;#NUM!;42.09;;;
0;83.46666667;94.15525405;-10.68858738;46.57;;;
0;131.2;134.0202018;-2.820201811;31.88;;;
0;0;#NUM!;#NUM!;48.81;;;
0;2.666666667;3.046104175;-0.379437508;48.81;;;
0;0;#NUM!;#NUM!;48.81;;;
0;147.7333333;162.2188254;-14.48549212;48.81;;;
0;252.2666667;235.676471;16.59019565;40.45;;;
0;0;#NUM!;#NUM!;51.68;;;
0;117.6;121.1791903;-3.579190276;53.89;;;
0;55.46666667;53.46846339;1.99820328;59.99;;;
0;0;#NUM!;#NUM!;62;;;
0;0;#NUM!;#NUM!;63.08;;;
0;0;#NUM!;#NUM!;62.17;;;
0;44.26666667;42.30068566;1.965981006;60.03;;;
0;782.9333333;784.6601777;-1.726844329;48.35;;;
0;883.4666667;861.7197501;21.74691657;48.35;;;
0;10878.66667;11600.61512;-721.9484578;48.35;;;
0;6719.733333;7005.21328;-285.4799464;46.11;;;
0;5599.733333;5326.463505;273.2698279;43;;;
0;6795.466667;6414.085095;381.3815713;35;;;
0;7514.666667;6579.037618;935.6290486;28.54;;;
0;16212.8;17701.37302;-1488.573019;16.2;;;
0;18867.2;18824.45707;42.74292553;20.11;;;
0;21711.73333;22086.12923;-374.3958957;22.12;;;
0;21810.93333;22675.34692;-864.4135903;36.97;;;
0;21092.26667;21269.27712;-177.0104543;41.07;;;
0;17183.73333;17429.24238;-245.5090429;44.49;;;
0;17432.26667;18184.67193;-752.405262;49;;;
0;15779.2;16283.54608;-504.3460758;49;;;
0;10650.13333;10120.39053;529.7428015;44.4;;;
0;17200.8;17827.43242;-626.6324235;38.55;;;
0;21087.2;19692.46704;1394.732956;43.73;;;
0;22159.94667;20589.86355;1570.083118;45.53;;;
0;13881.86667;13782.06485;99.80181435;49.92;;;
0;12959.46667;12988.13158;-28.66491596;58;;;
0;15405.6;14232.02574;1173.574257;59.5;;;
0;11258.93333;10872.93753;385.9958078;61.09;;;
0;6739.733333;6913.944296;-174.2109622;60;;;
0;5409.066667;5281.464981;127.6016861;53.78;;;
0;2454.24;2610.163935;-155.9239346;49;;;
0;3343.2;3772.903447;-429.7034467;48.13;;;
0;3999.733333;3747.624074;252.1092598;46.85;;;
0;9751.733333;10781.2862;-1029.552865;20;;;
0;6772;6654.738232;117.2617685;3;;;
0;6683.04;7267.127852;-584.0878517;1.5;;;
0;10258.4;11339.72442;-1081.324419;3;;;
0;13467.2;13246.11794;221.0820598;23.58;;;
0;11793.6;11360.1219;433.4781029;53.64;;;
0;12601.06667;12389.70077;211.3658981;52.54;;;
0;19124.53333;17162.44897;1962.084363;56.32;;;
0;17437.06667;17572.76888;-135.7022091;68.24;;;
0;9930.666667;10926.78911;-996.1224399;65.97;;;
0;2925.866667;2646.426207;279.4404593;63.9;;;
0;3321.866667;3453.414178;-131.5475113;62.3;;;
0;12648.26667;10239.56104;2408.705628;48.87;;;
0;19978.66667;19584.6324;394.0342702;48.87;;;
0;21471.73333;23006.65764;-1534.924302;48.87;;;
0;20729.06667;19354.36797;1374.698698;53.64;;;
0;22299.2;22230.31675;68.8832454;67.02;;;
0;22156.26667;22303.88019;-147.6135282;71.05;;;
0;19792.8;20075.70591;-282.9059087;70.18;;;
0;22110.93333;20088.30209;2022.631245;65;;;
0;22910.66667;23606.37257;-695.7058991;49.18;;;
0;22382.66667;20538.62789;1844.038778;46.6;;;
0;20514.66667;21463.04555;-948.3788883;48.87;;;
0;17839.46667;18177.99911;-338.5324456;22.72;;;
0;17304;17279.20529;24.79470811;22.39;;;
0;14124.8;14545.1307;-420.330704;19;;;
