month;Forecasting Dev. 4%;Forecasting Dev. 7%;Forecasting Dev. 11%
[0];304.05433330391446;368.9213335333333;467.52021826666646
[1];1266.8976839666664;1318.3718048999997;1382.4969378000003
[2];386.1529784333332;447.7812374999998;520.0010310666665
[3];914.9252625333329;973.2364695666664;1034.6949808999996
[4];533.2412910999998;580.0599472666667;637.834849
[5];1708.8871540666667;1728.2985281999997;1756.2484946666666
[6];1213.7230175666666;1329.0407104999997;1471.3279836666661
[7];2137.627470466666;2235.2267572000005;2363.0311779
[8];999.5218061999998;1109.5626793999998;1313.403455133333
[9];2758.7840539333324;3075.5569938999993;3370.1923107333328
[10];1892.9075246666662;2175.909581066667;2467.6159166
[11];1809.948584633333;2113.102459066666;2559.522539766667
